gate_count,wire_count,and_count,or_count,not_count,input_count,output_count,complexity_flag,score
2,4,0,1,1,2,1,1,71
4,9,2,2,0,3,1,1,94
3,5,1,0,2,2,1,1,86
6,11,2,2,2,3,1,1,78
2,3,0,0,2,4,1,1,40
6,11,2,2,2,3,1,1,82
3,7,3,0,0,3,1,1,94
3,6,1,1,1,2,1,1,87
3,6,1,1,1,4,1,1,40
3,7,2,1,0,4,1,1,77
4,9,2,2,0,2,1,1,91
2,5,1,1,0,3,1,1,96
6,10,2,1,3,4,1,1,77
3,7,2,1,0,2,1,1,79
4,7,2,0,2,2,1,1,94
3,6,1,1,1,3,1,1,74
6,12,3,2,1,4,1,1,78
5,10,4,0,1,2,1,1,89
5,9,2,1,2,3,1,1,74
2,5,2,0,0,4,1,1,40
4,8,2,1,1,4,1,1,100
5,10,1,3,1,2,1,1,76
4,6,1,0,3,3,1,1,40
6,12,1,4,1,3,1,1,81
3,5,0,1,2,2,1,1,75
2,4,0,1,1,4,1,1,40
3,7,1,2,0,2,1,1,74
3,6,2,0,1,3,1,1,71
6,10,1,2,3,2,1,1,76
3,6,1,1,1,4,1,1,40
3,6,0,2,1,2,1,1,81
5,9,1,2,2,4,1,1,71
5,8,1,1,3,3,1,1,77
5,10,1,3,1,3,1,1,100
3,6,0,2,1,2,1,1,99
2,5,2,0,0,4,1,1,40
6,9,1,1,4,4,1,1,40
3,5,0,1,2,3,1,1,40
6,10,3,0,3,4,1,1,98
3,5,0,1,2,3,1,1,40
4,8,1,2,1,3,1,1,91
4,9,2,2,0,3,1,1,86
5,10,3,1,1,4,1,1,88
6,9,1,1,4,2,1,1,95
2,4,1,0,1,3,1,1,40
6,13,4,2,0,4,1,1,100
4,8,2,1,1,4,1,1,82
3,6,2,0,1,4,1,1,40
3,5,1,0,2,4,1,1,40
3,5,0,1,2,3,1,1,40
5,10,2,2,1,3,1,1,92
4,6,0,1,3,4,1,1,40
4,6,0,1,3,2,1,1,89
3,7,0,3,0,3,1,1,83
2,4,0,1,1,2,1,1,87
5,9,2,1,2,4,1,1,90
4,8,0,3,1,4,1,1,100
6,9,2,0,4,3,1,1,80
3,6,1,1,1,2,1,1,95
3,5,1,0,2,2,1,1,86
5,9,1,2,2,2,1,1,81
2,5,0,2,0,3,1,1,79
3,4,0,0,3,4,1,1,40
3,6,2,0,1,2,1,1,77
4,8,2,1,1,3,1,1,94
5,9,1,2,2,4,1,1,100
2,3,0,0,2,3,1,1,40
4,7,2,0,2,4,1,1,40
5,10,2,2,1,3,1,1,92
2,5,1,1,0,4,1,1,40
6,9,1,1,4,4,1,1,40
6,11,1,3,2,3,1,1,74
6,11,3,1,2,2,1,1,100
2,5,1,1,0,3,1,1,80
6,9,1,1,4,3,1,1,99
2,4,1,0,1,3,1,1,40
3,6,2,0,1,3,1,1,71
3,6,0,2,1,2,1,1,100
5,7,0,1,4,4,1,1,40
2,4,0,1,1,3,1,1,40
6,8,0,1,5,4,1,1,40
4,7,1,1,2,3,1,1,72
4,8,1,2,1,3,1,1,89
2,4,0,1,1,4,1,1,40
3,7,3,0,0,2,1,1,80
5,9,2,1,2,2,1,1,86
6,11,3,1,2,2,1,1,75
3,6,1,1,1,2,1,1,74
6,12,2,3,1,4,1,1,86
4,8,1,2,1,3,1,1,91
4,7,1,1,2,3,1,1,87
3,6,0,2,1,4,1,1,40
4,8,3,0,1,3,1,1,81
4,9,2,2,0,4,1,1,88
3,7,1,2,0,4,1,1,73
5,11,2,3,0,2,1,1,80
6,12,2,3,1,3,1,1,100
5,10,2,2,1,4,1,1,70
6,12,1,4,1,2,1,1,86
6,10,1,2,3,2,1,1,71
6,12,2,3,1,3,1,1,89
3,6,0,2,1,2,1,1,75
2,5,1,1,0,3,1,1,77
6,10,3,0,3,4,1,1,90
4,7,1,1,2,4,1,1,40
6,10,2,1,3,3,1,1,78
6,11,1,3,2,2,1,1,88
2,3,0,0,2,4,1,1,40
6,12,2,3,1,4,1,1,76
2,5,0,2,0,4,1,1,40
5,10,2,2,1,4,1,1,70
5,9,1,2,2,4,1,1,95
6,13,1,5,0,4,1,1,72
6,11,1,3,2,3,1,1,80
2,4,0,1,1,3,1,1,40
4,9,2,2,0,4,1,1,83
3,7,2,1,0,2,1,1,95
6,13,2,4,0,2,1,1,75
5,10,1,3,1,2,1,1,93
5,11,1,4,0,3,1,1,79
6,9,1,1,4,4,1,1,40
2,4,1,0,1,4,1,1,40
5,10,1,3,1,3,1,1,100
5,9,2,1,2,3,1,1,100
5,10,1,3,1,3,1,1,76
6,12,4,1,1,3,1,1,93
2,5,2,0,0,2,1,1,74
3,6,1,1,1,3,1,1,72
5,10,4,0,1,2,1,1,85
2,4,0,1,1,3,1,1,40
6,7,0,0,6,4,1,1,40
4,8,0,3,1,4,1,1,82
2,5,0,2,0,4,1,1,40
2,4,0,1,1,2,1,1,89
3,5,0,1,2,3,1,1,40
2,5,0,2,0,2,1,1,90
6,12,4,1,1,2,1,1,96
6,11,3,1,2,4,1,1,79
2,4,1,0,1,4,1,1,40
3,6,0,2,1,4,1,1,40
6,10,1,2,3,4,1,1,85
3,5,1,0,2,2,1,1,87
3,7,2,1,0,2,1,1,74
6,13,3,3,0,4,1,1,92
5,10,4,0,1,4,1,1,78
5,9,1,2,2,3,1,1,82
6,10,1,2,3,2,1,1,73
2,5,2,0,0,2,1,1,80
2,5,0,2,0,4,1,1,40
3,7,0,3,0,3,1,1,77
4,9,3,1,0,4,1,1,81
3,6,1,1,1,2,1,1,82
2,4,0,1,1,4,1,1,40
2,3,0,0,2,3,1,1,40
3,7,1,2,0,2,1,1,89
6,11,2,2,2,4,1,1,79
2,4,1,0,1,4,1,1,40
4,8,3,0,1,2,1,1,73
6,13,3,3,0,2,1,1,78
3,7,2,1,0,4,1,1,95
5,9,2,1,2,4,1,1,85
2,5,2,0,0,2,1,1,88
6,10,2,1,3,2,1,1,71
4,9,2,2,0,4,1,1,70
6,10,1,2,3,2,1,1,94
4,8,2,1,1,3,1,1,90
4,5,0,0,4,2,1,1,40
4,7,0,2,2,4,1,1,40
6,12,1,4,1,4,1,1,92
6,12,1,4,1,3,1,1,79
6,13,4,2,0,3,1,1,92
2,3,0,0,2,4,1,1,40
5,11,5,0,0,2,1,1,73
3,6,2,0,1,3,1,1,76
6,13,4,2,0,4,1,1,83
2,5,0,2,0,4,1,1,40
4,8,2,1,1,4,1,1,92
